rowid,itemId,availableQuantity,soldQuantity
1,MPE433108265,9,6
2,MPE434382765,3,6
3,MPE433853177,17,3
4,MPE419883282,18,15
5,MPE431714651,1,15
6,MPE438492919,100,0
7,MPE429448587,50,0
8,MPE439307195,3,0
9,MPE439307251,3,0
10,MPE437503507,10,0
11,MPE438828260,3,0
12,MPE439307426,3,0
13,MPE440306037,1,0
14,MPE439307206,3,0
15,MPE431446248,23,2
16,MPE439307250,3,0
17,MPE439510012,1,0
18,MPE439307317,3,0
19,MPE439307286,3,0
20,MPE439307385,3,0
21,MPE440131689,7,0
22,MPE432990777,5,1
23,MPE440389411,9,1
24,MPE421767433,11,4
25,MPE432990779,1,0
26,MPE432439269,1,2
27,MPE431410374,1,0
28,MPE430002527,1,1
29,MPE432990781,1,0
30,MPE432202936,10,0
31,MPE428549066,5,0
32,MPE428549082,4,1
33,MPE433933924,1,1
34,MPE432291284,1,2
35,MPE432728801,1,1
36,MPE433252062,1,2
37,MPE436649728,100,0
38,MPE427140390,2,10
39,MPE433046443,999,0
